,City,Location,lon,lat
109,"Bolingbrook, IL","(41.7003302, -88.0717708)",41.7003302,-88.0717708
110,"Westchester, IL","(41.1763139, -73.7907554)",41.1763139,-73.7907554
111,"Northbrook, IL","(42.1299234, -87.8299476)",42.1299234,-87.8299476
112,"Oak Brook, IL","(41.8328085, -87.9289504)",41.8328085,-87.9289504
113,"Hammond, IN","(41.5833658, -87.500043)",41.5833658,-87.500043
114,"Rosemont, IL","(41.9941334, -87.8756737)",41.9941334,-87.8756737
115,"Mount Prospect, IL","(42.0664167, -87.9372908)",42.0664167,-87.9372908
116,"Hillside, IL","(41.8778084, -87.9028398)",41.8778084,-87.9028398
117,"Lincolnwood, IL","(42.0055985, -87.735572)",42.0055985,-87.735572
118,"Homewood, IL","(44.65592325, -75.5881667806019)",44.65592325,-75.5881667806019
119,"Des Plaines, IL","(42.0415823, -87.8873916)",42.0415823,-87.8873916
120,"Bedford Park, IL","(41.7628101, -87.8000551)",41.7628101,-87.8000551
121,"Northfield, IL","(42.09975, -87.7808967)",42.09975,-87.7808967
122,"Schaumburg, IL","(42.0333608, -88.083406)",42.0333608,-88.083406
123,"Glendale Heights, IL","(41.9103068, -88.0717353)",41.9103068,-88.0717353
124,"Oak Park, IL","(41.8850317, -87.7845025)",41.8850317,-87.7845025
125,"Downers Grove, IL","(41.7946074, -88.0068999)",41.7946074,-88.0068999
126,"Addison, IL","(41.931696, -87.9889556)",41.931696,-87.9889556
127,"Niles, IL","(42.0289319, -87.8122348)",42.0289319,-87.8122348
128,"Lisle, IL","(41.801141, -88.0747875)",41.801141,-88.0747875
129,"Willowbrook, IL","(33.9195386, -118.2674354)",33.9195386,-118.2674354
130,"Harvey, IL","(41.6100344, -87.6467132)",41.6100344,-87.6467132
131,"Denver, CO","(39.7391536, -104.9847034)",39.7391536,-104.9847034
132,"Lakewood, CO","(39.6246085, -105.084204002224)",39.6246085,-105.084204002224
133,"Boulder, CO","(40.0149856, -105.2705456)",40.0149856,-105.2705456
134,"Centennial, CO","(39.579155, -104.8769227)",39.579155,-104.8769227
135,"Lone Tree, CO","(39.5360997, -104.8963682)",39.5360997,-104.8963682
136,"Aurora, CO","(39.729432, -104.8319196)",39.729432,-104.8319196
137,"Littleton, CO","(39.613321, -105.0166498)",39.613321,-105.0166498
138,"Highlands Ranch, CO","(39.5538771, -104.9694264)",39.5538771,-104.9694264
139,"Broomfield, CO","(39.9379892, -105.0587294)",39.9379892,-105.0587294
140,"Greenwood Village, CO","(39.6172101, -104.9508141)",39.6172101,-104.9508141
141,"Englewood, CO","(39.6482059, -104.9879641)",39.6482059,-104.9879641
142,"Westminster, CO","(39.8366528, -105.0372046)",39.8366528,-105.0372046
143,"Golden, CO","(39.755543, -105.2210997)",39.755543,-105.2210997
144,"Louisville, CO","(39.977763, -105.1319296)",39.977763,-105.1319296
145,"Boston, MA","(42.3604823, -71.0595678)",42.3604823,-71.0595678
146,"Foxborough, MA","(42.0653768, -71.2478308)",42.0653768,-71.2478308
147,"Babson Park, MA","(42.2970161, -71.2550501)",42.2970161,-71.2550501
148,"Newton, MA","(42.3370414, -71.2092214)",42.3370414,-71.2092214
149,"Weston, MA","(42.3667625, -71.3031132)",42.3667625,-71.3031132
150,"Cambridge, MA","(42.3750997, -71.1056157)",42.3750997,-71.1056157
151,"Quincy, MA","(42.2528772, -71.0022705)",42.2528772,-71.0022705
152,"Southborough, MA","(42.3056501, -71.5245087)",42.3056501,-71.5245087
153,"Dedham, MA","(42.2417653, -71.166164)",42.2417653,-71.166164
154,"Waltham, MA","(42.3756401, -71.2358004)",42.3756401,-71.2358004
155,"Mansfield, MA","(42.0334326, -71.2189405)",42.0334326,-71.2189405
156,"Tewksbury, MA","(42.6106479, -71.2342248)",42.6106479,-71.2342248
157,"Framingham, MA","(42.2792625, -71.416172)",42.2792625,-71.416172
158,"Wilmington, MA","(42.5464828, -71.1736669)",42.5464828,-71.1736669
159,"North Reading, MA","(42.5750939, -71.0786653)",42.5750939,-71.0786653
160,"Burlington, MA","(42.5048167, -71.1956111)",42.5048167,-71.1956111
161,"Westwood, MA","(42.2139873, -71.2244987)",42.2139873,-71.2244987
162,"Natick, MA","(42.2836393, -71.346996)",42.2836393,-71.346996
163,"Wellesley Hills, MA","(42.3104264, -71.2770514)",42.3104264,-71.2770514
164,"Andover, MA","(42.65717, -71.1408776)",42.65717,-71.1408776
165,"Bedford, MA","(42.4917301, -71.2817947)",42.4917301,-71.2817947
166,"Norwood, MA","(42.194543, -71.1994976)",42.194543,-71.1994976
167,"Marlboro, MA","(42.7167588, -70.9731097)",42.7167588,-70.9731097
168,"Woburn, MA","(42.4792618, -71.1522766)",42.4792618,-71.1522766
169,"Hingham, MA","(42.2417669, -70.8897676)",42.2417669,-70.8897676
170,"Wellesley, MA","(42.2964859, -71.2925571)",42.2964859,-71.2925571
171,"Somerville, MA","(42.3875968, -71.0994968)",42.3875968,-71.0994968
172,"Rockland, MA","(42.1306563, -70.9161551)",42.1306563,-70.9161551
173,"Lexington, MA","(42.4473175, -71.2245003)",42.4473175,-71.2245003
174,"Dorchester, MA","(42.2973205, -71.0744952)",42.2973205,-71.0744952
175,"Norwell, MA","(42.1617681, -70.7939307)",42.1617681,-70.7939307
176,"Billerica, MA","(42.5584264, -71.268947)",42.5584264,-71.268947
177,"Watertown, MA","(42.3709299, -71.1828321)",42.3709299,-71.1828321
178,"New York, NY","(40.7306458, -73.9866136)",40.7306458,-73.9866136
179,"White Plains, NY","(41.0339862, -73.7629097)",41.0339862,-73.7629097
180,"Lawrence, NY","(40.6156599, -73.7295763)",40.6156599,-73.7295763
181,"Hauppauge, NY","(40.8256537, -73.2026138)",40.8256537,-73.2026138
182,"Syracuse, NY","(43.0481221, -76.1474244)",43.0481221,-76.1474244
183,"Purchase, NY","(41.0409305, -73.7145746)",41.0409305,-73.7145746
184,"Ronkonkoma, NY","(40.8153761, -73.112333)",40.8153761,-73.112333
185,"Manhattan, NY","(40.7902778, -73.9597222)",40.7902778,-73.9597222
186,"Albany, NY","(42.6511674, -73.754968)",42.6511674,-73.754968
187,"Boston, NY","(42.6289495, -78.7375289)",42.6289495,-78.7375289
188,"Buffalo, NY","(42.8867166, -78.8783922)",42.8867166,-78.8783922
189,"Rochester, NY","(43.157285, -77.615214)",43.157285,-77.615214
190,"Bohemia, NY","(40.7694091, -73.1148664)",40.7694091,-73.1148664
191,"Brooklyn, NY","(40.6501038, -73.9495823)",40.6501038,-73.9495823
192,"Long Island, NY","(40.8517821, -73.0992277431)",40.8517821,-73.0992277431
193,"Saratoga Springs, NY","(43.0821793, -73.7853915)",43.0821793,-73.7853915
194,"Pittsford, NY","(43.090959, -77.515298)",43.090959,-77.515298
195,"Hawthorne, NY","(41.1073184, -73.7959667)",41.1073184,-73.7959667
196,"Alameda, CA","(37.6090291, -121.899142)",37.6090291,-121.899142
197,"Novato, CA","(38.1061979, -122.5681191)",38.1061979,-122.5681191
198,"Westwood, CA","(40.3024675, -121.010399251458)",40.3024675,-121.010399251458
199,"Santa Fe Springs, CA","(33.9482434, -118.0676103)",33.9482434,-118.0676103
200,"North Hollywood, CA","(34.1729044, -118.3740371)",34.1729044,-118.3740371
201,"Anaheim, CA","(33.8347516, -117.911732)",33.8347516,-117.911732
202,"Issaquah, WA","(47.5348778, -122.0432974)",47.5348778,-122.0432974
203,"Renton, WA","(47.4799078, -122.2034496)",47.4799078,-122.2034496
204,"Canby, OR","(45.2629088, -122.6925983)",45.2629088,-122.6925983
205,"Falls Church, VA","(38.882334, -77.1710914)",38.882334,-77.1710914
206,"Annapolis Junction, MD","(39.11899645, -76.7963417455609)",39.11899645,-76.7963417455609
207,"Columbia, MD","(39.2156213, -76.8582049)",39.2156213,-76.8582049
208,"Oakbrook Terrace, IL","(41.8500302, -87.9645077)",41.8500302,-87.9645077
209,"Wheaton, IL","(41.8646959, -88.1101709)",41.8646959,-88.1101709
210,"Wheeling, IL","(42.1250895, -87.9292806729976)",42.1250895,-87.9292806729976
211,"Woodridge, IL","(41.7473663, -88.046129)",41.7473663,-88.046129
212,"Itasca, IL","(41.9751722, -88.0067509)",41.9751722,-88.0067509
213,"Stoughton, MA","(42.1250995, -71.1022712)",42.1250995,-71.1022712
214,"Canton, MA","(42.1584324, -71.1447732)",42.1584324,-71.1447732
215,"Chelmsford, MA","(42.5998139, -71.3672838)",42.5998139,-71.3672838
216,"Marlborough, MA","(42.3459271, -71.5522874)",42.3459271,-71.5522874
217,"Auburndale, MA","(42.3464455, -71.2486927)",42.3464455,-71.2486927
218,"Olean, NY","(42.077565, -78.4297419)",42.077565,-78.4297419
219,"Depew, NY","(42.9022047, -78.6956723)",42.9022047,-78.6956723
220,"Malta, NY","(42.9711869, -73.7926207)",42.9711869,-73.7926207
221,"Orangeburg, NY","(41.0465776, -73.9496707)",41.0465776,-73.9496707
222,New York State,"(43.1561681, -75.8449946)",43.1561681,-75.8449946
223,"Blauvelt, NY","(41.0634299, -73.9576378)",41.0634299,-73.9576378
224,"Elmhurst, NY","(40.7365804, -73.8783932)",40.7365804,-73.8783932
225,"Hayward, CA","(37.6688205, -122.0807964)",37.6688205,-122.0807964
